product_id,title,rating,ratings_count,initial_price,category,price,quantity,total_amount
13391540,Mast & Harbour,4.1,576,1999,dresses,1999,9,17991
13435624,Deewa,4.1,28,2199,dresses,2199,7,15393
13382036,plusS,4.2,623,1899,dresses,1899,9,17091
13449506,DOOR74,5.0,7,2399,dresses,2399,8,19192
22590644,YU by Pantaloons,4.7,17,1399,dresses,1399,1,1399
13398280,Zastraa,4.3,45,3299,dresses,3299,8,26392
22596522,Vero Moda,4.3,12,3799,dresses,3799,8,30392
12356000,KLEIO,4.6,8,3499,duffel-bag,3499,3,10497
15713414,Crunchy Fashion,4.2,22,1998,earrings,1998,1,1998
15750524,Priyaasi,4.4,97,7999,earrings,7999,8,63992
15014966,Priyaasi,4.9,13,3949,earrings,3949,3,11847
10125243,KARATCART,4.0,213,1282,earrings,1282,3,3846
10564232,PRITA BY PRIYAASI,4.3,727,1130,earrings,1130,1,1130
10125225,KARATCART,4.1,872,1568,earrings,1568,5,7840
10125241,KARATCART,4.2,22,1711,earrings,1711,10,17110
17354670,ANIKAS CREATION,4.0,5,1995,earrings,1995,7,13965
20041906,KARATCART,4.3,9,1730,earrings,1730,10,17300
22601952,SOHI,4.5,15,1455,earrings,1455,9,13095
22618882,Saraf RS Jewellery,4.2,99,3795,earrings,3795,7,26565
14467848,GIVA,4.4,17,2799,earrings,2799,9,25191
14399558,Shoshaa,4.6,21,2488,earrings,2488,8,19904
13402874,Crunchy Fashion,4.2,6,1575,earrings,1575,2,3150
13340876,Kord Store,4.4,7,4524,earrings,4524,1,4524
12930744,ANIKAS CREATION,4.4,16,1075,earrings,1075,7,7525
21990058,Rustorange,5.0,2,3299,ethnic-dresses,3299,7,23093
21992820,PANIT,4.4,14,7999,ethnic-dresses,7999,8,63992
15741088,Ashnaina,4.1,88,1799,ethnic-dresses,1799,5,8995
15788632,AURELIA,4.2,14,2499,ethnic-dresses,2499,3,7497
15749780,W,4.3,23,3999,ethnic-dresses,3999,8,31992
19990734,VASTRAMAY,4.7,9,2499,ethnic-dresses,2499,6,14994
13404948,YASH GALLERY,4.1,67,3899,ethnic-dresses,3899,3,11697
13355452,Rangriti,4.4,33,1299,ethnic-dresses,1299,1,1299
13405888,Saanjh,4.0,7,1969,ethnic-dresses,1969,3,5907
16704788,Birkenstock,4.5,12,4990,flats,4990,5,24950
21888172,Brauch,4.0,10,1499,flats,1499,3,4497
21735080,Birkenstock,4.5,11,6990,flats,6990,1,6990
21735014,Birkenstock,4.8,5,9490,flats,9490,5,47450
21928414,Clarks,4.0,11,3499,flats,3499,10,34990
18638536,CODE by Lifestyle,4.0,20,1499,flats,1499,7,10493
13596626,Anouk,4.3,44,2299,flats,2299,7,16093
21205620,Tommy Hilfiger,4.3,8,2599,flip-flops,2599,9,23391
18521180,Reebok,4.5,75,1999,flip-flops,1999,10,19990
21431930,yoho,4.0,24,1499,flip-flops,1499,10,14990
13374286,Saral Home,4.7,7,1999,floor-mats--dhurries,1999,3,5997
13374334,Saral Home,4.4,5,1999,floor-mats--dhurries,1999,7,13993
21931392,Clarks,4.4,7,9999,formal-shoes,9999,1,9999
17755896,Red Tape,4.0,265,6899,formal-shoes,6899,4,27596
21421856,Baggit,4.4,5,1990,handbags,1990,4,7960
21421918,Baggit,4.6,18,1890,handbags,1890,5,9450
16696848,Accessorize,4.6,38,4995,handbags,4995,7,34965
18200086,Caprese,4.0,59,3699,handbags,3699,7,25893
7743536,Lino Perros,4.5,6,4495,handbags,4495,4,17980
7743355,Lino Perros,4.3,14,3495,handbags,3495,7,24465
17637810,Toteteca,4.8,5,3099,handbags,3099,3,9297
17761230,Caprese,4.1,10,3999,handbags,3999,6,23994
15188034,Metro,4.3,10,1290,handbags,1290,2,2580
21762808,Baggit,4.6,10,1690,handbags,1690,10,16900
21421996,Baggit,4.5,40,1990,handbags,1990,9,17910
21621752,Berrylush,4.0,111,3299,handbags,3299,5,16495
13359482,FLYING BERRY,4.9,7,2999,handbags,2999,6,17994
13389422,DailyObjects,4.3,123,2999,handbags,2999,4,11996
13389410,DailyObjects,4.2,30,2999,handbags,2999,10,29990
19219056,BLAUPUNKT,4.5,11,5999,headphones,5999,7,41993
13474452,Allen Solly,4.3,14,2299,heels,2299,9,20691
17647418,FOOTONS,5.0,2,3199,heels,3199,7,22393
13475738,TRASE,4.0,39,1599,heels,1599,1,1599
22217088,DressBerry,4.1,34,1599,heels,1599,1,1599
22200396,Bruno Manetti,4.0,5,3999,heels,3999,9,35991
19217010,Inc 5,4.4,14,2690,heels,2690,9,24210
15120922,Anouk,4.0,25,2699,heels,2699,4,10796
19014822,mothercare,4.6,7,3499,jackets,3499,9,31491
19015560,U.S. Polo Assn. Kids,4.5,40,2499,jackets,2499,3,7497
19020502,U.S. Polo Assn.,4.4,338,6299,jackets,6299,7,44093
19014828,mothercare,4.5,15,2999,jackets,2999,6,17994
19015652,U.S. Polo Assn. Kids,4.2,19,2799,jackets,2799,8,22392
19020536,U.S. Polo Assn.,4.1,91,6999,jackets,6999,9,62991
19020616,U.S. Polo Assn.,4.3,47,6299,jackets,6299,5,31495
19020478,U.S. Polo Assn.,4.3,150,4599,jackets,4599,1,4599
19020722,U.S. Polo Assn.,4.0,64,5999,jackets,5999,3,17997
19837040,High Star,4.1,41,3749,jackets,3749,10,37490
19020654,U.S. Polo Assn.,4.0,54,6999,jackets,6999,8,55992
14991614,Roadster,4.2,363,1699,jackets,1699,6,10194
16182066,People,4.3,71,1799,jackets,1799,8,14392
19231126,Mast & Harbour,4.2,31,4499,jackets,4499,9,40491
19020564,U.S. Polo Assn.,4.3,112,5299,jackets,5299,4,21196
19015534,U.S. Polo Assn. Kids,4.1,33,2499,jackets,2499,1,2499
19020450,U.S. Polo Assn.,4.3,96,6499,jackets,6499,1,6499
19020572,U.S. Polo Assn.,4.0,95,5499,jackets,5499,10,54990
11973216,Mast & Harbour,4.0,378,2699,jackets,2699,4,10796
19020676,U.S. Polo Assn.,4.6,85,5699,jackets,5699,7,39893
19020568,U.S. Polo Assn.,4.2,199,6999,jackets,6999,2,13998
18973692,Levis,4.2,426,4099,jeans,4099,3,12297
18973742,Levis,4.2,182,4399,jeans,4399,1,4399
18974084,Levis,4.2,135,4399,jeans,4399,5,21995
18873126,KETCH,4.0,20,1749,jeans,1749,1,1749
18802522,BEAT LONDON by PEPE JEANS,4.0,20,2799,jeans,2799,8,22392
18973648,Levis,4.2,290,4099,jeans,4099,1,4099
18973888,Levis,4.4,333,4099,jeans,4099,1,4099
18973730,Levis,4.1,193,4399,jeans,4399,2,8798
18973948,Levis,4.0,30,4999,jeans,4999,2,9998
19008496,Calvin Klein Jeans,5.0,8,7999,jeans,7999,6,47994
18992754,AMERICAN EAGLE OUTFITTERS,4.8,5,4499,jeans,4499,7,31493
18973922,Levis,4.1,237,4099,jeans,4099,5,20495
18973950,Levis,4.1,156,4999,jeans,4999,1,4999
19842706,Llak Jeans,4.2,9,2299,jeans,2299,1,2299
13768634,Nautica,4.6,16,4999,jeans,4999,3,14997
18973728,Levis,4.4,260,4399,jeans,4399,2,8798
18903330,Levis,4.4,235,3299,jeans,3299,5,16495
18973740,Levis,4.3,340,4099,jeans,4099,10,40990
18969982,Allen Solly Junior,4.2,6,1799,jeans,1799,6,10794
18734066,Flying Machine,4.1,26,2699,jeans,2699,7,18893
18993370,Blackberrys,4.3,29,3295,jeans,3295,4,13180
15190770,AMERICAN EAGLE OUTFITTERS,4.0,6,3999,jeans,3999,7,27993
15067844,Flying Machine,4.1,69,2399,jeans,2399,8,19192
18960434,Lee,4.4,34,3999,jeans,3999,1,3999
18973952,Levis,4.1,329,3499,jeans,3499,6,20994
18689340,Flying Machine,4.3,36,2349,jeans,2349,8,18792
18973790,Levis,4.3,54,5599,jeans,5599,5,27995
21184968,HERE&NOW,4.6,111,2399,jeans,2399,4,9596
18903148,Levis,4.3,150,3899,jeans,3899,2,7798
18734006,Flying Machine,4.3,42,2499,jeans,2499,6,14994
18928362,AMERICAN EAGLE OUTFITTERS,4.1,9,4499,jeans,4499,6,26994
18964420,American Bull,4.5,2,4299,jeans,4299,1,4299
18973914,Levis,4.4,243,3799,jeans,3799,9,34191
15049188,Roadster,4.5,50,2099,jumpsuit,2099,6,12594
19841310,SHOWOFF,4.0,4,1500,kurtas,1500,3,4500
17760672,Cayman,4.0,11,1345,kurtas,1345,4,5380
17656880,Vishudh,4.4,43,1499,kurtas,1499,4,5996
16186258,Vishudh,4.2,87,1799,kurtas,1799,3,5397
22110424,VASTRADO,5.0,2,1199,kurtas,1199,10,11990
18637234,House of Pataudi,4.2,85,2499,kurtas,2499,3,7497
13562488,KSUT,4.3,95,1599,kurtas,1599,3,4797
17644540,Libas,4.2,364,2499,kurtas,2499,4,9996
13506804,Ishin,4.1,169,5199,kurtas,5199,7,36393
18637284,House of Pataudi,4.1,34,3999,kurtas,3999,4,15996
19574714,Cayman,4.3,17,5995,kurtas,5995,9,53955
19580226,DEVOILER,4.7,7,2499,kurtas,2499,1,2499
12524816,HERE&NOW,4.1,937,1199,kurtas,1199,8,9592
12531668,INDYA,4.4,10,2900,kurtas,2900,7,20300
19688180,KALINI,4.1,11,1499,kurtas,1499,2,2998
19027402,Jompers,4.5,6,3499,kurta-sets,3499,8,27992
18925432,Indo Era,4.7,14,5399,kurta-sets,5399,1,5399
18946592,Indian Virasat,4.3,9,2999,kurta-sets,2999,9,26991
19027352,Jompers,4.2,104,2199,kurta-sets,2199,9,19791
17754514,Indo Era,4.1,91,6799,kurta-sets,6799,2,13598
19027424,Jompers,4.1,151,2199,kurta-sets,2199,7,15393
19027432,Jompers,4.4,35,2999,kurta-sets,2999,10,29990
15189724,VASTRAMAY,4.2,62,1799,kurta-sets,1799,3,5397
19027420,Jompers,4.0,10,3499,kurta-sets,3499,7,24493
14325388,Anouk,4.1,99,2899,kurta-sets,2899,10,28990
17090208,Anouk,4.3,100,3399,kurta-sets,3399,9,30591
13446422,Biba,4.4,749,4995,kurta-sets,4995,4,19980
15898082,Bailey sells,4.6,5,1450,nightdress,1450,1,1450
17288308,KID1,4.0,16,1499,night-suits,1499,2,2998
18209958,Sweet Dreams,4.1,13,2099,night-suits,2099,1,2099
15973760,Zoom Minimondo,4.8,10,1299,night-suits,1299,5,6495
17361920,Indo Era,4.2,23,1799,palazzos,1799,5,8995
17307424,Clora Creation,4.0,3,2399,palazzos,2399,7,16793
17288460,Cutiekins,4.2,26,1099,palazzos,1099,9,9891
15782402,BEARDO,4.4,153,2700,perfume-and-body-mist,2700,9,24300
15294314,Zaveri Pearls,4.4,27,1995,ring,1995,3,5985
16254760,Zaveri Pearls,4.2,504,2250,ring,2250,3,6750
10018911,SEJ by Nisha Gupta,4.5,13,1849,runners,1849,3,5547
19183770,Crocs,4.1,21,3295,sandals,3295,4,13180
18949542,Red Chief,4.3,32,3099,sandals,3099,8,24792
15725544,SALWAR STUDIO,4.1,12,3555,saree-blouse,3555,6,21330
14654046,SALWAR STUDIO,4.4,12,4995,saree-blouse,4995,8,39960
18465340,Silk Land,4.1,15,4125,sarees,4125,1,4125
17292364,Mitera,4.0,18,4199,sarees,4199,8,33592
16287654,Saree mall,4.1,359,4099,sarees,4099,4,16396
16287830,Saree mall,4.2,12,4099,sarees,4099,1,4099
16287764,Saree mall,4.1,129,4799,sarees,4799,8,38392
19823504,VAIRAGEE,4.2,19,9995,sarees,9995,4,39980
16293500,BELLEZIYA,4.3,3,1249,scarves,1249,6,7494
